Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
İzmir,Konak,Murat Reis Mahallesi,1880000,110 M2,100 M2,3+1,0 (Yeni),2. Kat
Denizli,Merkezefendi,Servergazi Mahallesi,1050000,190 M2,175 M2,3+1,2,2. Kat
Konya,Selçuklu,Binkonutlar Mahallesi,420000,130 M2,110 M2,3+1,21 Ve Üzeri,2. Kat
İstanbul,Üsküdar,Yavuztürk Mahallesi,1900000,130 M2,115 M2,3+1,21 Ve Üzeri,2. Kat
Balıkesir,Edremit,Kadıköy Mahallesi,835000,150 M2,140 M2,3+1,4,1. Kat
Diyarbakır,Kayapınar,Talaytepe Mahallesi,1500000,220 M2,190 M2,4+1,2,9. Kat
Balıkesir,Edremit,Akçay Mahallesi,950000,105 M2,100 M2,2+1,0 (Yeni),2. Kat
Balıkesir,Edremit,İkizçay Mahallesi,780000,95 M2,90 M2,2+1,2,Yüksek Giriş
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,379999,125 M2,115 M2,2+1,0 (Yeni),2. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,259999,120 M2,110 M2,2+1,0 (Yeni),Bahçe Katı
Balıkesir,Edremit,Akçay Mahallesi,749000,125 M2,115 M2,3+1,2,2. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,339900,110 M2,100 M2,2+1,4,2. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,294500,135 M2,120 M2,3+1,0 (Yeni),Düz Giriş
İstanbul,Başakşehir,Bahçeşehir 2. Kısım Mahallesi,544500,145 M2,130 M2,3+1,0 (Yeni),2. Kat
Balıkesir,Edremit,Akçay Mahallesi,850000,120 M2,115 M2,2+1,0 (Yeni),3. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,335000,100 M2,90 M2,2+1,2,1. Kat
Balıkesir,Edremit,Akçay Mahallesi,650000,150 M2,140 M2,3+1,11-15,1. Kat
Balıkesir,Edremit,Sarıkız Mahallesi,625000,115 M2,100 M2,2+1,11-15,Düz Giriş
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1299000,145 M2,125 M2,3+1,2,1. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,5750000,355 M2,296 M2,6+1,0 (Yeni),Villa Tipi
Balıkesir,Edremit,Akçay Mahallesi,525000,95 M2,90 M2,2+1,21 Ve Üzeri,3. Kat
İstanbul,Küçükçekmece,Mehmet Akif Mahallesi,770000,110 M2,100 M2,2+1,5-10,1. Kat
Ankara,Keçiören,Uyanış Mahallesi,530000,140 M2,120 M2,3+1,4,Yüksek Giriş
Ankara,Keçiören,Bademlik Mahallesi,615000,145 M2,125 M2,3+1,11-15,1. Kat
İstanbul,Esenyurt,Akevler Mahallesi,1250000,120 M2,110 M2,2+1,5-10,15. Kat
İstanbul,Esenyurt,Süleymaniye Mahallesi,637000,100 M2,90 M2,2+1,0 (Yeni),3. Kat
Balıkesir,Edremit,Akçay Mahallesi,820000,120 M2,110 M2,2+1,0 (Yeni),Yüksek Giriş
İstanbul,Beylikdüzü,Yakuplu Mahallesi,970000,105 M2,95 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Kavaklı Mahallesi,1650000,165 M2,150 M2,3+1,0 (Yeni),3. Kat
İstanbul,Beylikdüzü,Yakuplu Mahallesi,979000,140 M2,125 M2,3+1,0 (Yeni),1. Kat
İstanbul,Sultangazi,75. Yıl Mahallesi,358000,85 M2,80 M2,2+1,11-15,Kot 1 (-1). Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1099000,110 M2,105 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,899999,110 M2,105 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,979999,105 M2,95 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,2199999,250 M2,240 M2,4+2,0 (Yeni),4. Kat
Manisa,Şehzadeler,Alaybey Mahallesi,435000,100 M2,95 M2,2+1,16-20,4. Kat
İstanbul,Esenyurt,Cumhuriyet Mahallesi,288000,110 M2,100 M2,2+1,0 (Yeni),3. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,365000,110 M2,100 M2,2+1,0 (Yeni),3. Kat
İstanbul,Esenyurt,Güzelyurt Mahallesi,357000,130 M2,120 M2,3+1,0 (Yeni),3. Kat
Balıkesir,Edremit,Akçay Mahallesi,580000,65 M2,60 M2,1+1,0 (Yeni),3. Kat
Ankara,Sincan,Pınarbaşı Mahallesi,409000,150 M2,120 M2,3+1,5-10,3. Kat
Balıkesir,Edremit,Akçay Mahallesi,550000,110 M2,100 M2,2+1,16-20,Yüksek Giriş
Balıkesir,Edremit,Akçay Mahallesi,1590000,180 M2,150 M2,2+2,2,4. Kat
Ankara,Pursaklar,Mimar Sinan Mahallesi,1340000,195 M2,180 M2,4+1,4,13. Kat
Balıkesir,Edremit,Akçay Mahallesi,800000,120 M2,110 M2,2+1,2,2. Kat
İstanbul,Kağıthane,Seyrantepe Mahallesi,11000000,220 M2,185 M2,4+1,0 (Yeni),6. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,719000,100 M2,95 M2,2+1,0 (Yeni),2. Kat
İstanbul,Avcılar,Mustafa Kemal Paşa Mahallesi,449000,95 M2,80 M2,2+1,0 (Yeni),Yüksek Giriş
Sakarya,Karasu,Yalı Mahallesi,310000,95 M2,90 M2,2+1,5-10,Yüksek Giriş
Eskişehir,Tepebaşı,Tunalı Mahallesi,400000,65 M2,60 M2,1+1,0 (Yeni),1. Kat
İstanbul,Bayrampaşa,Yenidoğan Mahallesi,569000,88 M2,80 M2,2+1,11-15,Yüksek Giriş
İstanbul,Esenyurt,Yunus Emre Mahallesi,659000,140 M2,130 M2,3+1,0 (Yeni),3. Kat
Adana,Sarıçam,Gültepe Mahallesi,635000,210 M2,135 M2,4+1,0 (Yeni),3. Kat
Ankara,Keçiören,Uyanış Mahallesi,420000,135 M2,115 M2,3+1,11-15,Yüksek Giriş
Ankara,Çankaya,Umut Mahallesi,460000,100 M2,90 M2,3+1,16-20,Yüksek Giriş
İstanbul,Esenyurt,Mehmet Akif Ersoy Mahallesi,615000,100 M2,90 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,485000,100 M2,90 M2,2+1,3,Bahçe Katı
Aydın,Söke,Atatürk Mahallesi,947500,160 M2,140 M2,3+1,5-10,3. Kat
İstanbul,Sancaktepe,Yenidoğan Mahallesi,495000,110 M2,109 M2,2+1,4,Yüksek Giriş
Sakarya,Adapazarı,Yenigün Mahallesi,850000,380 M2,350 M2,6+2,21 Ve Üzeri,Yüksek Giriş
Sakarya,Adapazarı,Yenigün Mahallesi,850000,380 M2,350 M2,6+2,21 Ve Üzeri,Yüksek Giriş
Mersin,Erdemli,Alata Mahallesi,450000,110 M2,90 M2,2+1,0 (Yeni),Yüksek Giriş
Antalya,Manavgat,Mimar Sinan Mahallesi,570000,105 M2,95 M2,2+1,3,Yüksek Giriş
İstanbul,Beylikdüzü,Kavaklı Mahallesi,1300000,180 M2,160 M2,3+2,3,Çatı Dubleks
İstanbul,Esenyurt,Turgut Özal Mahallesi,2150000,156 M2,150 M2,3+1,11-15,2. Kat
Kahramanmaraş,Dulkadiroğlu,Ballıca Mahallesi,448000,135 M2,125 M2,3+1,4,1. Kat
İzmir,Konak,Altıntaş Mahallesi,895000,105 M2,100 M2,3+1,21 Ve Üzeri,7. Kat
Gaziantep,Şehitkamil,Karacaahmet Mahallesi,1250000,165 M2,145 M2,3+1,0 (Yeni),8. Kat
İstanbul,Bağcılar,Kazım Karabekir Mahallesi,550000,125 M2,120 M2,3+1,21 Ve Üzeri,2. Kat
İzmir,Konak,Zafertepe Mahallesi,765000,115 M2,100 M2,3+1,1,3. Kat
Adana,Sarıçam,Osmangazi Mahallesi,530000,180 M2,125 M2,3+1,1,7. Kat
Manisa,Şehzadeler,Yarhasanlar Mahallesi,565000,230 M2,210 M2,2+1,5-10,3. Kat
İstanbul,Esenyurt,Güzelyurt Mahallesi,860000,145 M2,130 M2,3+1,0 (Yeni),2. Kat
Tekirdağ,Çerkezköy,Kızılpınar Atatürk Mahallesi,485000,140 M2,125 M2,3+1,4,4. Kat
İzmir,Bayraklı,Manavkuyu Mahallesi,750000,120 M2,105 M2,3+1,16-20,7. Kat
Adana,Sarıçam,Gültepe Mahallesi,475000,170 M2,110 M2,2+1,2,1. Kat
Mersin,Erdemli,Ayaş Mahallesi,650000,125 M2,100 M2,2+1,0 (Yeni),3. Kat
Sakarya,Sapanca,Balkaya Mahallesi,5000000,860 M2,600 M2,8+ Oda,0 (Yeni),Villa Tipi
İzmir,Konak,Zafertepe Mahallesi,508000,125 M2,115 M2,3+1,5-10,3. Kat
Mersin,Akdeniz,Akdeniz Mahallesi,475000,120 M2,100 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Barış Mahallesi,1145000,135 M2,125 M2,3+1,21 Ve Üzeri,8. Kat
Manisa,Salihli,Eski Cami Mahallesi,415000,55 M2,50 M2,1+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,499999,120 M2,110 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,479999,125 M2,105 M2,2+1,0 (Yeni),4. Kat
Ankara,Etimesgut,Göksu Mahallesi,1690000,165 M2,150 M2,4+1,0 (Yeni),11. Kat
Aydın,Didim,Akbük Mahallesi,1200000,210 M2,120 M2,5+1,21 Ve Üzeri,Müstakil
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1550000,165 M2,150 M2,3+1,0 (Yeni),2. Kat
Adana,Seyhan,Yenibaraj Mahallesi,1200000,135 M2,105 M2,3+1,3,7. Kat
Kütahya,Kütahya Merkez,G. Kemal Mahallesi,275000,125 M2,110 M2,1+1,5-10,2. Kat
Mersin,Mezitli,Yeni Mahallesi,740000,130 M2,120 M2,2+1,5-10,3. Kat
Adana,Seyhan,Yenibaraj Mahallesi,1200000,135 M2,105 M2,3+1,3,7. Kat
Kütahya,Kütahya Merkez,G. Kemal Mahallesi,275000,125 M2,110 M2,1+1,5-10,2. Kat
Mersin,Mezitli,Yeni Mahallesi,740000,130 M2,120 M2,2+1,5-10,3. Kat
İstanbul,Büyükçekmece,Atatürk Mahallesi,1580000,125 M2,120 M2,2+1,21 Ve Üzeri,1. Kat
Aydın,Nazilli,Karaçay Mahallesi,340000,125 M2,120 M2,3+1,21 Ve Üzeri,3. Kat
İstanbul,Sultangazi,Sultançiftliği Mahallesi,685000,100 M2,95 M2,2+1,0 (Yeni),2. Kat
Niğde,Niğde Merkez,Efendibey Mahallesi,158000,90 M2,80 M2,1+1,5-10,4. Kat
Balıkesir,Edremit,Gazicelal Mahallesi,340000,65 M2,60 M2,1+1,1,2. Kat
İstanbul,Avcılar,Mustafa Kemal Paşa Mahallesi,500000,90 M2,80 M2,2+1,4,Bahçe Katı
İstanbul,Esenyurt,Saadetdere Mahallesi,360000,130 M2,120 M2,3+1,5-10,Bahçe Katı
İstanbul,Silivri,Balaban Mahallesi,1695000,223 M2,100 M2,2+1,0 (Yeni),Bahçe Dublex
İstanbul,Esenyurt,Atatürk Mahallesi,1259000,200 M2,180 M2,3+2,3,Çatı Dubleks
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1620000,140 M2,135 M2,3+1,11-15,7. Kat
Hatay,Defne,Sümerler Mahallesi,2200000,220 M2,190 M2,4+1,11-15,2. Kat
İstanbul,Beylikdüzü,Dereağzı Mahallesi,5250000,380 M2,300 M2,6+2,0 (Yeni),Düz Giriş
İstanbul,Sarıyer,Maden Mahallesi,4150000,90 M2,Https://Www.Youtube.Com/Watch?V=NWaIM6Lm5zk,140 M2,2+1,0 (Yeni)
Manisa,Salihli,Yörük Mahallesi,1620000,270 M2,250 M2,5+1,5-10,5. Kat
Tekirdağ,Çerkezköy,Kızılpınar Atatürk Mahallesi,435000,120 M2,110 M2,2+1,4,1. Kat
İstanbul,Başakşehir,Bahçeşehir 2. Kısım Mahallesi,1355000,65 M2,49 M2,1+1,4,12. Kat
Balıkesir,Edremit,Güre Cumhuriyet Mahallesi,2500000,220 M2,200 M2,3+1,0 (Yeni),Müstakil
Antalya,Muratpaşa,Konuksever Mahallesi,799000,135 M2,125 M2,3+1,16-20,1. Kat
